"","scenarios","Year","Yield","relative"
"1","scen",100,1555.97652285427,0.253912742309723
"2","scen",101,1554.8322332465,0.253726010885413
"3","scen",102,1553.73386774952,0.253546773608178
"4","scen",103,1552.67952384426,0.253374720014573
"5","scen",104,1551.66738241274,0.253209553250995
"6","scen",105,1550.69570373162,0.253050989419895
"7","scen",106,1549.7628236839,0.252898756961574
"8","scen",107,1548.86715017543,0.252752596069421
"9","scen",108,1548.00715974404,0.252612258136563
"10","scen",109,1547.18139434894,0.252477505231942
"11","scen",110,1546.38845832895,0.252348109603953
"12","scen",111,1545.62701551959,0.252223853209981
"13","scen",112,1544.89578651945,0.252104527270318
"14","scen",113,1544.19354609707,0.251989931845009
"15","scen",114,1543.51912072994,0.251879875432245
"16","scen",115,1542.8713862678,0.251774174587048
"17","scen",116,1542.24926571306,0.251672653559075
"18","scen",117,1541.65172711182,0.251575143948456
"19","scen",118,1541.07778154906,0.251481484378639
"20","scen",119,1540.5264812421,0.251391520185271
"21","scen",120,1539.99691772689,0.251305103120233
"22","scen",121,1539.48822013206,0.251222091069979
"23","scen",122,1538.99955353585,0.25114234778742
"24","scen",123,1538.53011740142,0.251065742636581
"25","scen",124,1538.07914408631,0.250992150349381
"26","scen",125,1537.6458974222,0.250921450793851
"27","scen",126,1537.22967136106,0.250853528753221
"28","scen",127,1536.82978868436,0.250788273715274
"29","scen",128,1536.445599772,0.250725579671457
"30","scen",129,1536.07648142784,0.250665344925221
"31","scen",130,1535.72183575898,0.25060747190914
"32","scen1",100,1555.97652285427,0.253912742309723
"33","scen1",101,1554.8322332465,0.253726010885413
"34","scen1",102,1553.73386774952,0.253546773608178
"35","scen1",103,1552.67952384426,0.253374720014573
"36","scen1",104,1551.66738241274,0.253209553250995
"37","scen1",105,1550.69570373162,0.253050989419895
"38","scen1",106,1549.7628236839,0.252898756961574
"39","scen1",107,1548.86715017543,0.252752596069421
"40","scen1",108,1548.00715974404,0.252612258136563
"41","scen1",109,1547.18139434894,0.252477505231942
"42","scen1",110,1546.38845832895,0.252348109603953
"43","scen1",111,1545.62701551959,0.252223853209981
"44","scen1",112,1544.89578651945,0.252104527270318
"45","scen1",113,1544.19354609707,0.251989931845009
"46","scen1",114,1543.51912072994,0.251879875432245
"47","scen1",115,1542.8713862678,0.251774174587048
"48","scen1",116,1542.24926571306,0.251672653559075
"49","scen1",117,1541.65172711182,0.251575143948456
"50","scen1",118,1541.07778154906,0.251481484378639
"51","scen1",119,1540.5264812421,0.251391520185271
"52","scen1",120,1539.99691772689,0.251305103120233
"53","scen1",121,1539.48822013206,0.251222091069979
"54","scen1",122,1538.99955353585,0.25114234778742
"55","scen1",123,1538.53011740142,0.251065742636581
"56","scen1",124,1538.07914408631,0.250992150349381
"57","scen1",125,1537.6458974222,0.250921450793851
"58","scen1",126,1537.22967136106,0.250853528753221
"59","scen1",127,1536.82978868436,0.250788273715274
"60","scen1",128,1536.445599772,0.250725579671457
"61","scen1",129,1536.07648142784,0.250665344925221
"62","scen1",130,1535.72183575898,0.25060747190914
"63","scen2",100,1555.97652285427,0.253912742309723
"64","scen2",101,1399.33676575878,0.228351411727507
"65","scen2",102,1398.34824316636,0.228190099215017
"66","scen2",103,1397.39933975485,0.228035251976731
"67","scen2",104,1433.66707387635,0.233953618798394
"68","scen2",105,1528.84951354804,0.249486008858134
"69","scen2",106,1649.86239487266,0.269233551382471
"70","scen2",107,1770.88965519995,0.288983440350952
"71","scen2",108,1889.26626391268,0.308300781520366
"72","scen2",109,2017.23903076157,0.329184076155144
"73","scen2",110,2152.62746605898,0.351277500045839
"74","scen2",111,2288.00865042779,0.373369740690424
"75","scen2",112,2418.51416341215,0.394666342664605
"76","scen2",113,2545.84967653478,0.415445646757878
"77","scen2",114,2670.30929116478,0.435755646037008
"78","scen2",115,2790.38913295522,0.455350930077155
"79","scen2",116,2904.04723821299,0.473898280096798
"80","scen2",117,3010.8997587883,0.491335057659621
"81","scen2",118,3111.00344563209,0.507670523695571
"82","scen2",119,3204.33839028528,0.522901429433623
"83","scen2",120,3290.64714162699,0.536985762594578
"84","scen2",121,3369.94276120713,0.549925654633442
"85","scen2",122,3442.44822932076,0.561757492691904
"86","scen2",123,3508.49999494909,0.572536180351229
"87","scen2",124,3568.42057508976,0.582314347695553
