"","scenarios","Year","Yield","relative"
"1","scen",100,1352.97154923911,0.290213365050846
"2","scen",101,1340.12638021706,0.287458067107859
"3","scen",102,1327.5296668453,0.284756063079575
"4","scen",103,1315.17429044786,0.282105826004902
"5","scen",104,1303.05340123136,0.279505886598262
"6","scen",105,1291.16040572614,0.276954830555698
"7","scen",106,1279.48895492402,0.274451296010413
"8","scen",107,1268.03293306805,0.271993971128166
"9","scen",108,1256.78644705289,0.269581591833647
"10","scen",109,1245.74381639736,0.267212939659582
"11","scen",110,1234.89956375357,0.264886839710927
"12","scen",111,1224.24840591929,0.262602158737027
"13","scen",112,1213.7852453229,0.260357803305123
"14","scen",113,1203.50516195211,0.25815271806906
"15","scen",114,1193.40340569974,0.255985884127451
"16","scen",115,1183.47538910169,0.253856317465962
"17","scen",116,1173.71668044376,0.251763067478732
"18","scen",117,1164.12299721587,0.249705215564283
"19","scen",118,1154.69019989323,0.247681873791585
"20","scen",119,1145.41428602567,0.245692183632217
"21","scen",120,1136.29138461753,0.243735314754841
"22","scen",121,1127.31775078151,0.241810463878448
"23","scen",122,1118.48976065102,0.239916853681067
"24","scen",123,1109.80390653671,0.238053731760822
"25","scen",124,1101.25679231348,0.236220369646451
"26","scen",125,1092.84512902537,0.234416061854546
"27","scen",126,1084.56573069636,0.232640124990975
"28","scen",127,1076.41551033606,0.230891896894087
"29","scen",128,1068.39147612957,0.229170735817449
"30","scen",129,1060.49072780193,0.227476019650009
"31","scen",130,1052.71045314779,0.225807145171703
"32","scen1",100,1352.97154923911,0.290213365050846
"33","scen1",101,1340.12638021706,0.287458067107859
"34","scen1",102,1327.5296668453,0.284756063079575
"35","scen1",103,1315.17429044786,0.282105826004902
"36","scen1",104,1303.05340123136,0.279505886598262
"37","scen1",105,1291.16040572614,0.276954830555698
"38","scen1",106,1279.48895492402,0.274451296010413
"39","scen1",107,1268.03293306805,0.271993971128166
"40","scen1",108,1256.78644705289,0.269581591833647
"41","scen1",109,1245.74381639736,0.267212939659582
"42","scen1",110,1234.89956375357,0.264886839710927
"43","scen1",111,1224.24840591929,0.262602158737027
"44","scen1",112,1213.7852453229,0.260357803305123
"45","scen1",113,1203.50516195211,0.25815271806906
"46","scen1",114,1193.40340569974,0.255985884127451
"47","scen1",115,1183.47538910169,0.253856317465962
"48","scen1",116,1173.71668044376,0.251763067478732
"49","scen1",117,1164.12299721587,0.249705215564283
"50","scen1",118,1154.69019989323,0.247681873791585
"51","scen1",119,1145.41428602567,0.245692183632217
"52","scen1",120,1136.29138461753,0.243735314754841
"53","scen1",121,1127.31775078151,0.241810463878448
"54","scen1",122,1118.48976065102,0.239916853681067
"55","scen1",123,1109.80390653671,0.238053731760822
"56","scen1",124,1101.25679231348,0.236220369646451
"57","scen1",125,1092.84512902537,0.234416061854546
"58","scen1",126,1084.56573069636,0.232640124990975
"59","scen1",127,1076.41551033606,0.230891896894087
"60","scen1",128,1068.39147612957,0.229170735817449
"61","scen1",129,1060.49072780193,0.227476019650009
"62","scen1",130,1052.71045314779,0.225807145171703
"63","scen2",100,1352.97154923911,0.290213365050846
