"","fishery","species","management","MC","catchShare","illegalFishing","implementYear","npv1","npv2"
"60","MNI Fishery","Lutjanus vivanus","30& MPA",1,"CS","illegal_fishing",2,2256.10846656555,0
"61","MNI Fishery","Lutjanus vivanus","BAU",1,"no_CS","no_illegal_fishing",2,2471.73862973988,0
"62","MNI Fishery","Lutjanus vivanus","30& MPA",1,"no_CS","no_illegal_fishing",2,2256.10846656555,0
"63","MNI Fishery","Lutjanus vivanus","BAU",1,"CS","no_illegal_fishing",2,2471.73862973988,0
"64","MNI Fishery","Lutjanus vivanus","30& MPA",1,"CS","no_illegal_fishing",2,2256.10846656555,0
"65","MNI Fishery","Ocyurus chrysurus","BAU",1,"no_CS","illegal_fishing",2,49082.1631980181,0
"66","MNI Fishery","Ocyurus chrysurus","30& MPA",1,"no_CS","illegal_fishing",2,43534.4673690341,0
"67","MNI Fishery","Ocyurus chrysurus","BAU",1,"CS","illegal_fishing",2,49082.1631980181,0
"68","MNI Fishery","Ocyurus chrysurus","30& MPA",1,"CS","illegal_fishing",2,43534.4673690341,0
"69","MNI Fishery","Ocyurus chrysurus","BAU",1,"no_CS","no_illegal_fishing",2,49082.1631980181,0
"70","MNI Fishery","Ocyurus chrysurus","30& MPA",1,"no_CS","no_illegal_fishing",2,43534.4673690341,0
"71","MNI Fishery","Ocyurus chrysurus","BAU",1,"CS","no_illegal_fishing",2,49082.1631980181,0
"72","MNI Fishery","Ocyurus chrysurus","30& MPA",1,"CS","no_illegal_fishing",2,43534.4673690341,0
"73","MNI Fishery","Belone belone","BAU",1,"no_CS","illegal_fishing",2,6602718.53179133,0
"74","MNI Fishery","Belone belone","30& MPA",1,"no_CS","illegal_fishing",2,6230817.57696581,0
"75","MNI Fishery","Belone belone","BAU",1,"CS","illegal_fishing",2,6602718.53179133,0
"76","MNI Fishery","Belone belone","30& MPA",1,"CS","illegal_fishing",2,6230817.57696581,0
"77","MNI Fishery","Belone belone","BAU",1,"no_CS","no_illegal_fishing",2,6602718.53179133,0
"78","MNI Fishery","Belone belone","30& MPA",1,"no_CS","no_illegal_fishing",2,6230817.57696581,0
"79","MNI Fishery","Belone belone","BAU",1,"CS","no_illegal_fishing",2,6602718.53179133,0
"80","MNI Fishery","Belone belone","30& MPA",1,"CS","no_illegal_fishing",2,6230817.57696581,0
"81","MNI Fishery","Caranx hippos","BAU",1,"no_CS","illegal_fishing",2,79141.2844885754,0
"82","MNI Fishery","Caranx hippos","30& MPA",1,"no_CS","illegal_fishing",2,88429.5299772986,0
"83","MNI Fishery","Caranx hippos","BAU",1,"CS","illegal_fishing",2,79141.2844885754,0
"84","MNI Fishery","Caranx hippos","30& MPA",1,"CS","illegal_fishing",2,88429.5299772986,0
"85","MNI Fishery","Caranx hippos","BAU",1,"no_CS","no_illegal_fishing",2,79141.2844885754,0
"86","MNI Fishery","Caranx hippos","30& MPA",1,"no_CS","no_illegal_fishing",2,88429.5299772986,0
"87","MNI Fishery","Caranx hippos","BAU",1,"CS","no_illegal_fishing",2,79141.2844885754,0
"88","MNI Fishery","Caranx hippos","30& MPA",1,"CS","no_illegal_fishing",2,88429.5299772986,0
"89","MNI Fishery","Epinephelus striatus","BAU",1,"no_CS","illegal_fishing",2,6818.30853591216,0
"90","MNI Fishery","Epinephelus striatus","30& MPA",1,"no_CS","illegal_fishing",2,7014.72439999174,0
"91","MNI Fishery","Epinephelus striatus","BAU",1,"CS","illegal_fishing",2,6818.30853591216,0
"92","MNI Fishery","Epinephelus striatus","30& MPA",1,"CS","illegal_fishing",2,7014.72439999174,0
"93","MNI Fishery","Epinephelus striatus","BAU",1,"no_CS","no_illegal_fishing",2,6818.30853591216,0
"94","MNI Fishery","Epinephelus striatus","30& MPA",1,"no_CS","no_illegal_fishing",2,7014.72439999174,0
"95","MNI Fishery","Epinephelus striatus","BAU",1,"CS","no_illegal_fishing",2,6818.30853591216,0
"96","MNI Fishery","Epinephelus striatus","30& MPA",1,"CS","no_illegal_fishing",2,7014.72439999174,0
"97","MNI Fishery","Hemiramphus brasiliensis","BAU",1,"no_CS","illegal_fishing",2,2043497.7855515,0
"98","MNI Fishery","Hemiramphus brasiliensis","30& MPA",1,"no_CS","illegal_fishing",2,2111084.11494282,0
"99","MNI Fishery","Hemiramphus brasiliensis","BAU",1,"CS","illegal_fishing",2,2043497.7855515,0
"100","MNI Fishery","Hemiramphus brasiliensis","30& MPA",1,"CS","illegal_fishing",2,2111084.11494282,0
