"","species","management","time","biomass","harvest1","profit1","BvBMSY","FvFMSY1","FvFMSYtotal"
"2839","Mullidae","BAU",10,2514.16767411144,152.906902130286,1529.06902130286,0.472938869516048,1.21507659239799,1.21507659239799
"2840","Mullidae","30% MPA",10,2839.89477238023,120.901903856467,1209.01903856467,0.534211236992665,0.850553614678593,0.850553614678593
"2841","Mullidae","BAU",11,2574.99896485511,156.606545680706,1566.06545680706,0.484381814301219,1.21507659239799,1.21507659239799
"2842","Mullidae","30% MPA",11,2945.20576273803,125.385273928871,1253.85273928871,0.554021236636,0.850553614678593,0.850553614678593
"2843","Mullidae","BAU",12,2634.61936282707,160.232545032913,1602.32545032913,0.495596978630669,1.21507659239799,1.21507659239799
"2844","Mullidae","30% MPA",12,3049.63475463094,129.831094971417,1298.31094971417,0.573665323973171,0.850553614678593,0.850553614678593
"2845","Mullidae","BAU",13,2692.98060384269,163.781964850877,1637.81964850877,0.506575283551894,1.21507659239799,1.21507659239799
"2846","Mullidae","30% MPA",13,3152.99121570364,134.231255512959,1342.31255512959,0.593107658054639,0.850553614678593,0.850553614678593
"2847","Mullidae","BAU",14,2750.04117186312,167.25228020798,1672.5228020798,0.517308919502831,1.21507659239799,1.21507659239799
"2848","Mullidae","30% MPA",14,3255.09751358021,138.578193268918,1385.78193268918,0.612314824539778,0.850553614678593,0.850553614678593
"2849","Mullidae","BAU",15,2805.76605729261,170.641361887108,1706.41361887108,0.527791300845296,1.21507659239799,1.21507659239799
"2850","Mullidae","30% MPA",15,3355.78940763905,142.864916077462,1428.64916077462,0.631255928204412,0.850553614678593,0.850553614678593
"2851","Mullidae","BAU",16,2860.12648564542,173.9474598787,1739.474598787,0.538017014824645,1.21507659239799,1.21507659239799
"2852","Mullidae","30% MPA",16,3454.91636709512,147.085015441108,1470.85015441108,0.649902652775114,0.850553614678593,0.850553614678593
"2853","Mullidae","BAU",17,2913.09962236204,177.169185428219,1771.69185428219,0.54798176604289,1.21507659239799,1.21507659239799
"2854","Mullidae","30% MPA",17,3552.34172721586,151.232673177253,1512.32673177253,0.668229290314904,0.850553614678593,0.850553614678593
"2855","Mullidae","BAU",18,2964.66825919522,180.305491962759,1803.05491962759,0.557682317464939,1.21507659239799,1.21507659239799
"2856","Mullidae","30% MPA",18,3647.94269699226,155.302661744753,1553.02661744753,0.686212742666254,0.850553614678593,0.850553614678593
"2857","Mullidae","BAU",19,3014.82048718749,183.355655202146,1833.55655202145,0.567116428902536,1.21507659239799,1.21507659239799
"2858","Mullidae","30% MPA",19,3741.61023261511,159.29033885747,1592.9033885747,0.703832497650765,0.850553614678593,0.850553614678593
"2859","Mullidae","BAU",20,3063.54936083499,186.319252734029,1863.19252734029,0.576282793840301,1.21507659239799,1.21507659239799
"2860","Mullidae","30% MPA",20,3833.24879170641,163.191637021245,1631.91637021245,0.72107058283776,0.850553614678593,0.850553614678593
"2861","Mullidae","BAU",21,3110.85255759229,189.196143305608,1891.96143305608,0.585180975385334,1.21507659239799,1.21507659239799
"2862","Mullidae","30% MPA",21,3922.77598347402,167.003048640047,1670.03048640047,0.737911499735032,0.850553614678593,0.850553614678593
"2863","Mullidae","BAU",22,3156.73203642693,191.986446057565,1919.86446057565,0.593811342038071,1.21507659239799,1.21507659239799
"2864","Mullidae","30% MPA",22,4010.1221298427,170.721607332153,1707.21607332153,0.754342141233431,0.850553614678593,0.850553614678593
"2865","Mullidae","BAU",23,3201.19369869208,194.690519898993,1946.90519898993,0.602175003899214,1.21507659239799,1.21507659239799
"2866","Mullidae","30% MPA",23,4095.22975221916,174.344866080359,1743.44866080359,0.770351695062472,0.850553614678593,0.850553614678593
"2867","Mullidae","BAU",24,3244.247054157,197.308943195992,1973.08943195992,0.610273749846875,1.21507659239799,1.21507659239799
"2868","Mullidae","30% MPA",24,4178.05299792249,177.870872813598,1778.70872813598,0.785931535896447,0.850553614678593,0.850553614678593
"2869","Mullidae","BAU",25,3285.90489462348,199.842493921648,1998.42493921648,0.618109986140726,1.21507659239799,1.21507659239799
"2870","Mullidae","30% MPA",25,4258.55701950465,181.298143982955,1812.98143982955,0.801075108598701,0.850553614678593,0.850553614678593
"2871","Mullidae","BAU",26,3326.18297716806,202.292130391426,2022.92130391426,0.625686676836837,1.21507659239799,1.21507659239799
"2872","Mullidae","30% MPA",26,4336.71731924386,184.625636654996,1846.25636654996,0.815777804914595,0.850553614678593,0.850553614678593
"2873","Mullidae","BAU",27,3365.09971868594,204.658972685907,2046.58972685907,0.633007286328494,1.21507659239799,1.21507659239799
"2874","Mullidae","30% MPA",27,4412.51907005849,187.852719601263,1878.52719601263,0.830036835728948,0.850553614678593,0.850553614678593
"2875","Mullidae","BAU",28,3402.67590307741,206.944284842427,2069.44284842427,0.64007572426516,1.21507659239799,1.21507659239799
"2876","Mullidae","30% MPA",28,4485.95642299837,190.97914381633,1909.7914381633,0.843851100798566,0.850553614678593,0.850553614678593
"2877","Mullidae","BAU",29,3438.93440211055,209.149457878474,2091.49457878474,0.646896293044107,1.21507659239799,1.21507659239799
"2878","Mullidae","30% MPA",29,4557.03181035603,194.005012849384,1940.05012849384,0.857221057660821,0.850553614678593,0.850553614678593
"2879","Mullidae","BAU",30,3473.89991071724,211.275993692895,2112.75993692895,0.65347363801707,1.21507659239799,1.21507659239799
"2880","Mullidae","30% MPA",30,4625.75525232965,196.930753287019,1969.30753287019,0.870148591210366,0.850553614678593,0.850553614678593
"2881","Panulirus argus","BAU",1,1429.62097267058,143.993440989126,1439.93440989126,0.642360846727036,2.56247142940662,2.56247142940662
"2882","Panulirus argus","30% MPA",1,1429.62097267058,143.993440989126,1439.93440989126,0.642360846727036,2.56247142940662,2.56247142940662
"2883","Panulirus argus","BAU",2,1365.68545330314,137.553765291066,1375.53765291066,0.613633180344191,2.56247142940662,2.56247142940662
"2884","Panulirus argus","30% MPA",2,1365.68545330314,96.2876357037461,962.876357037461,0.613633180344191,1.79373000058463,1.79373000058463
"2885","Panulirus argus","BAU",3,1306.85949419682,131.628731710045,1316.28731710045,0.587201354270404,2.56247142940662,2.56247142940662
"2886","Panulirus argus","30% MPA",3,1348.12562378414,95.0495801444253,950.495801444253,0.605743154124768,1.79373000058463,1.79373000058463
"2887","Panulirus argus","BAU",4,1252.6222080798,126.165875745284,1261.65875745284,0.562831322142782,2.56247142940662,2.56247142940662
"2888","Panulirus argus","30% MPA",4,1331.41641614997,93.8714976703931,938.714976703931,0.598235331443646,1.79373000058463,1.79373000058463
"2889","Panulirus argus","BAU",5,1202.51660815303,121.119169041756,1211.19169041756,0.54031774951758,2.56247142940662,2.56247142940662
"2890","Panulirus argus","30% MPA",5,1315.50760149626,92.7498468933785,927.498468933785,0.591087143324741,1.79373000058463,1.79373000058463
"2891","Panulirus argus","BAU",6,1156.14054239078,116.448106280156,1164.48106280156,0.519479940447632,2.56247142940662,2.56247142940662
"2892","Panulirus argus","30% MPA",6,1300.35257918809,91.6813422362026,916.813422362026,0.584277651055009,1.79373000058463,1.79373000058463
"2893","Panulirus argus","BAU",7,1113.13907715496,112.116938043785,1121.16938043785,0.50015841526898,2.56247142940662,2.56247142940662
"2894","Panulirus argus","30% MPA",7,1285.90806504733,90.662931948432,906.629319484321,0.577787406080019,1.79373000058463,1.79373000058463
"2895","Panulirus argus","BAU",8,1073.1980737361,108.094023838703,1080.94023838703,0.482212024396341,2.56247142940662,2.56247142940662
"2896","Panulirus argus","30% MPA",8,1272.13381040236,89.6917782979795,896.917782979795,0.571598323766651,1.79373000058463,1.79373000058463
"2897","Panulirus argus","BAU",9,1036.0387509474,104.351284430526,1043.51284430526,0.465515505174351,2.56247142940662,2.56247142940662
"2898","Panulirus argus","30% MPA",9,1258.99234856572,88.7652396965167,887.652396965168,0.565693569489824,1.79373000058463,1.79373000058463
