"","Fishery","Country","Site","Species","Scientific","Time","N","phi_lower","phi_expected","phi_upper","g_lower","g_expected","g_upper","K_lower","K_expected","K_upper","b0_lower","b0_expected","b0_upper","f0_total_low","f0_total_expected","f0_total_high","theta_domestic","theta_legal1_lower","theta_legal1_expected","theta_legal1_upper","p1_lower","p1_expected","p1_upper","p2_lower","p2_expected","p2_upper","beta_lower","beta_expected","beta_upper","c1_lower","c1_expected","c1_upper","c2_lower","c2_expected","c2_upper","disc_lower","disc_expected","disc_upper","gamma_p1","gamma_p2","gamma_c1","gamma_c2","lambda","split"
"37","MNI Fishery","Montserrat","MNI",NA,"Haemulon parrai",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0374844980035405,0.0374844980035405,0.0374844980035405,9870.52962055659,9870.52962055659,9870.52962055659,0.402353922482641,0.402353922482641,0.402353922482641,0.621357204086404,0.621357204086404,0.621357204086404,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"38","MNI Fishery","Montserrat","MNI","Balarton","Heteropriacanthus cruentatus",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.105197713276956,0.105197713276956,0.105197713276956,383.210291192501,383.210291192501,383.210291192501,0.32004777366554,0.32004777366554,0.32004777366554,0.387535713029036,0.387535713029036,0.387535713029036,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"39","MNI Fishery","Montserrat","MNI","Angelfish","Holacanthus ciliaris",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0522083564229281,0.0522083564229281,0.0522083564229281,568.741788633713,568.741788633713,568.741788633713,0.410525442783489,0.410525442783489,0.410525442783489,2.46108161269289,2.46108161269289,2.46108161269289,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"40","MNI Fishery","Montserrat","MNI","Angelfish","Holacanthus tricolor",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0494584674686525,0.0494584674686525,0.0494584674686525,7033.98544545075,7033.98544545075,7033.98544545075,0.340437053639331,0.340437053639331,0.340437053639331,1.32984680583817,1.32984680583817,1.32984680583817,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"41","MNI Fishery","Montserrat","MNI","Common squirrelfish","Holocentrus adscensionis",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.049782511036762,0.049782511036762,0.049782511036762,57217.9998985244,57217.9998985244,57217.9998985244,0.439630601912287,0.439630601912287,0.439630601912287,1.55318153596828,1.55318153596828,1.55318153596828,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"42","MNI Fishery","Montserrat","MNI","Bermuda chub","Kyphosus sectatrix",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0129652862074283,0.0129652862074283,0.0129652862074283,3507.15125476486,3507.15125476486,3507.15125476486,0.437582342742456,0.437582342742456,0.437582342742456,5.15142607307343,5.15142607307343,5.15142607307343,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"43","MNI Fishery","Montserrat","MNI",NA,"Lutjanidae",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0717221254166481,0.0717221254166481,0.0717221254166481,1454.322220963,1454.322220963,1454.322220963,0.314691747757547,0.314691747757547,0.314691747757547,31.5312512036884,31.5312512036884,31.5312512036884,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"44","MNI Fishery","Montserrat","MNI","Black pargue","Lutjanus griseus",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0372532708011964,0.0372532708011964,0.0372532708011964,864.396235816478,864.396235816478,864.396235816478,0.309922825997286,0.309922825997286,0.309922825997286,0,0,0,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"45","MNI Fishery","Montserrat","MNI","Dog snapper","Lutjanus jocu",30,1,0.188005801001991,0.188005801001991,0.188005801001991,0.0195939945943757,0.0195939945943757,0.0195939945943757,19790.3367958302,19790.3367958302,19790.3367958302,0.665148081719622,0.665148081719622,0.665148081719622,3.67353943788031,3.67353943788031,3.67353943788031,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
"46","MNI Fishery","Montserrat","MNI","Lantern jaw","Lutjanus mahogoni",30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79708165327725,0.79708165327725,0.79708165327725,NA,NA,NA,1,0,0,0,10,10,10,0,0,0,1,1,1,5,5,5,0,0,0,0,0,0,1,2,1,1,0.03,1
