"","year","catch","SciName","IdOrig","SpeciesCatName","BvBmsy","LogBvBmsy","YearsBack","ScaledCatch","ScaledCatch1Back","ScaledCatch2Back","ScaledCatch3Back","ScaledCatch4Back","MaxCatch","TimeToMaxCatch","InitialScaledCatchSlope","MeanScaledCatch","CatchToRollingMax","MaxLength","AgeMat","VonBertK","Temp","SpeciesCat","b_to_k_ratio","regression_LogBvBmsy","BvBmsySD","model","model_number","model_worked","res","Value","id","MSY","phi","g","k","MSYLogSd","gLogSd","KLogSd","CatchMSYBvBmsy","CatchMSYBvBmsy_LogSd","FvFmsy","Resilience","SpecCode","ComName","C_Code","Language","Genus","Species"
"1",2015,151,"Coryphaena hippurus","CORYHI","Miscellaneous coastal fishes",1.92497347585859,0.659343973972619,1,1,0.721854304635762,0.390728476821192,0.947019867549669,0.450331125827815,151,19,-0.0622516556291391,0.411293133495992,1,210,0.5,1.438857149,25.5,NA,0.4,0.659343973972619,0.239451188402734,"M1",1,TRUE,"High",1,"CORYHI",277.027236473751,0.188005801001991,0.145631574467486,4755.61768604652,0.124743557456721,0.0542702894924663,0.152982733899723,1.92497347585859,0.320998154314961,0.283158581385369,"High","6","Common dolphifish","598","English","Coryphaena","hippurus"
"2",2015,33,"Lutjanus analis","LUTJAN","Miscellaneous coastal fishes",0.385389259286034,-0.91375525076376,1,0.0887096774193548,0.158602150537634,0.139784946236559,0.311827956989247,0.14247311827957,372,4,0.00161290322580637,0.212609970674487,0.0887096774193548,94,5.5,0.160333333,24,NA,0.4,-0.91375525076376,0.185500787827637,"M1",1,TRUE,"Low",1,"LUTJAN",20.0684752619812,0.188005801001991,0.0189257833558344,2650.94380568856,0.114344138795627,0.152993849883578,0.0649700092990558,0.385389259286034,0.169934257040331,4.26677710087625,"Low","1403","Mutton fish","192","English","Lutjanus","analis"
"3",2015,1,"Sarda sarda","SCOMSA","Miscellaneous coastal fishes",0.184636911635997,-1.62300016626449,1,0.0013869625520111,0.0013869625520111,0.0013869625520111,0.219140083217753,0.151178918169209,721,4,0.0509609669110362,0.13869625520111,0.0013869625520111,91.40000153,1,0.513428575,19.5,NA,0.4,-1.62300016626449,0.190881599880987,"M1",1,TRUE,"Medium",1,"SCOMSA",106.765942405903,0.188005801001991,0.061367759583595,4349.43132722921,0.118875289638783,0.172959726605773,0.14757939447586,0.184636911635997,0.18091851286865,0.0507281161903804,"Medium","115","Atlantic Bonito","192","English","Sarda","sarda"
"4",2015,86,"Acanthocybium solandri","SCOMSO","Miscellaneous coastal fishes",0.323025226410213,-1.13345788892164,1,0.102870813397129,0.211722488038278,0.125598086124402,0.348086124401914,0.407894736842105,836,2,-0.00929596719070407,0.286374510656807,0.102870813397129,250,2,0.340000004,NA,NA,0.4,-1.13345788892164,0.0566197658297355,"M2",2,TRUE,"Medium",1,"SCOMSO",283.926058555887,0.188005801001991,0.0467236262269763,15191.7820535064,0.0352593537493024,0.227190297390725,0.194123025033732,0.323025226410213,0.120873501444936,0.937684545155874,"Medium","89","Barracuda","654","English","Acanthocybium","solandri"
"5",2015,8,"Albula vulpes","ALBUVU","Miscellaneous coastal fishes",0.3852970571784,-0.956113784219853,1,0.0117647058823529,0.0338235294117647,0.0264705882352941,0.101470588235294,0.00147058823529412,680,9,0.00613445378151261,0.112254901960784,0.0117647058823529,104,2.933333238,0.305600002,NA,NA,0.4,-0.956113784219853,0.0536178807982056,"M2",2,TRUE,"Low",1,"ALBUVU",7.65753408195435,0.188005801001991,0.0136136707923971,1406.22140029838,0.280702012095058,0.315163680717887,0.0354199655253176,0.3852970571784,0.564802880064254,2.71147345181241,"Low","228","Banana","826","English","Albula","vulpes"
"6",2015,2004,"Epinephelus guttatus","SERRGU","Miscellaneous coastal fishes",0.0044,-0.178839312423176,1,0.487354085603113,0.522373540856031,0.254134241245136,0.393482490272374,0.569795719844358,4112,12,0.0289744302390216,0.528154846126636,0.487354085603113,76,3,0.184750002,NA,NA,0.4,-0.178839312423176,0.0519076371563824,"M2",2,TRUE,"Medium",1,"SERRGU",1351.70327030999,0.188005801001991,0.0396672782343198,85190.0691500248,0.124048160063225,0.344009345610283,0.221368891911076,0.838268925393508,0.138388673251406,1.76861370277244,"Medium","15","Deady","388","English","Epinephelus","guttatus"
"7",2015,73,"Lutjanus synagris","LUTJSY","Miscellaneous coastal fishes",0.849876223415843,-0.161904890567094,1,0.503448275862069,0.689655172413793,0.579310344827586,1,0.586206896551724,145,8,0.0902463054187192,0.431974921630094,0.503448275862069,60,1.75,0.228590908,NA,NA,0.4,-0.161904890567094,0.0691739860330937,"M2",2,TRUE,"Medium",1,"LUTJSY",24.7850005791695,0.188005801001991,0.0399726986372695,1550.12054628084,0.222433821270775,0.328512738116992,0.108680770790062,0.849876223415843,0.175704901336848,3.46559850319269,"Medium","181","Bream","028","English","Lutjanus","synagris"
"8",2015,231,"Lutjanus vivanus","LUTJVI","Miscellaneous coastal fishes",0.0034,-0.354557442114664,1,0.163946061036196,1,0.256210078069553,0.881476224272534,0.405251951738822,1409,21,0.121930447125621,0.417284986128137,0.163946061036196,83,5,0.169999999,NA,NA,0.4,-0.354557442114664,0.113816300522094,"M2",2,TRUE,"Low",1,"LUTJVI",134.956588895353,0.188005801001991,0.0138149192667412,24422.254355886,0.225324128816893,0.290542700839047,0.0692569750753656,0.702606661518521,0.214343693990607,2.43615896793282,"Low","185","Day snapper","192","English","Lutjanus","vivanus"
"9",2015,51,"Ocyurus chrysurus","LUTJCH","Miscellaneous coastal fishes",0.518102425365662,-0.648303572520156,1,0.265625,0.125,0.0208333333333333,0.625,0.651041666666667,192,2,-0.0877976190476191,0.43125,0.265625,86.30000305,2,0.188615383,NA,NA,0.4,-0.648303572520156,0.0695120357538749,"M2",2,TRUE,"Low",1,"LUTJCH",50.4426894626771,0.188005801001991,0.0221914582645428,5682.66952776982,0.0342929183952429,0.0431022424023742,0.0339733413059228,0.518102425365662,0.118481693555343,1.95144500609259,"Low","188","Cola","312","English","Ocyurus","chrysurus"
"10",2015,8227,"Belone belone","BELO","Miscellaneous coastal fishes",0.798510336057752,-0.224600452038507,1,0.542141680395387,0.716968698517298,0.527578253706754,0.542734761120264,0.336013179571664,15175,4,0.0567437044010355,0.60417253257451,0.542141680395387,93,NA,0.297379997,NA,NA,0.4,-0.224600452038507,0.0481266263770905,"M3",3,TRUE,"Medium",1,"BELO",5779.7416258773,0.188005801001991,0.0392056345160804,368552.99609465,0.110100502280209,0.327891327002518,0.21904616837726,0.798510336057752,0.118389653073419,1.78259437102244,"Medium","47","Garfish","233","English","Belone","belone"
