"","Fishery","Country","Site","Species","Scientific","Time","N","phi_lower","phi_expected","phi_upper","g_lower","g_expected","g_upper","K_lower","K_expected","K_upper","b0_lower","b0_expected","b0_upper","f0_total_low","f0_total_expected","f0_total_high","theta_domestic","theta_legal1_lower","theta_legal1_expected","theta_legal1_upper","theta_legal2_lower","theta_legal2_expected","theta_legal2_upper","p1_lower","p1_expected","p1_upper","p2_lower","p2_expected","p2_upper","beta_lower","beta_expected","beta_upper","c1_lower","c1_expected","c1_upper","c2_lower","c2_expected","c2_upper","disc_lower","disc_expected","disc_upper","gamma_p1","gamma_p2","gamma_c1","gamma_c2","lambda","split"
"12","MNI Fishery","Montserrat","MNI","Epinephelus striatus","Epinephelus striatus",50,1,0.188,0.188,0.188,0.0129584028794856,0.0129584028794856,0.0129584028794856,1461.67604010017,1461.67604010017,1461.67604010017,0.35279184157358,0.35279184157358,0.35279184157358,10.475551601334,10.475551601334,10.475551601334,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"13","MNI Fishery","Montserrat","MNI","Hemiramphus brasiliensis","Hemiramphus brasiliensis",50,1,0.188,0.188,0.188,0.0519370887639876,0.0519370887639876,0.0519370887639876,94196.1552403721,94196.1552403721,94196.1552403721,0.775126676613456,0.775126676613456,0.775126676613456,2.02590513861049,2.02590513861049,2.02590513861049,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"14","MNI Fishery","Montserrat","MNI","Lutjanus campechanus","Lutjanus campechanus",50,1,0.188,0.188,0.188,0.0175938943932653,0.0175938943932653,0.0175938943932653,69194.3348697268,69194.3348697268,69194.3348697268,0.369687249273058,0.369687249273058,0.369687249273058,2.48857670268464,2.48857670268464,2.48857670268464,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"15","MNI Fishery","Montserrat","MNI","Rhomboplites aurorubens","Rhomboplites aurorubens",50,1,0.188,0.188,0.188,0.0630531357631798,0.0630531357631798,0.0630531357631798,22700.2392831823,22700.2392831823,22700.2392831823,0.352465202624633,0.352465202624633,0.352465202624633,0.2527300087658,0.2527300087658,0.2527300087658,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"16","MNI Fishery","Montserrat","MNI","Scomberomorus regalis","Scomberomorus regalis",50,1,0.188,0.188,0.188,0.0515887150895349,0.0515887150895349,0.0515887150895349,3379.8185489162,3379.8185489162,3379.8185489162,0.277032278217694,0.277032278217694,0.277032278217694,0.414048795829676,0.414048795829676,0.414048795829676,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"17","MNI Fishery","Montserrat","MNI","Acanthostracion polygonius","Acanthostracion polygonius",50,1,0.188,0.188,0.188,0.108888102971816,0.108888102971816,0.108888102971816,28613.371516592,28613.371516592,28613.371516592,0.436358193645198,0.436358193645198,0.436358193645198,1.06101914676897,1.06101914676897,1.06101914676897,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"18","MNI Fishery","Montserrat","MNI","Acanthurus chirurgus","Acanthurus chirurgus",50,1,0.188,0.188,0.188,0.0399499271523592,0.0399499271523592,0.0399499271523592,68113.201251889,68113.201251889,68113.201251889,0.0048,0.0048,0.0048,1.80791263034235,1.80791263034235,1.80791263034235,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"19","MNI Fishery","Montserrat","MNI","Acanthurus coeruleus","Acanthurus coeruleus",50,1,0.188,0.188,0.188,0.0424863544947469,0.0424863544947469,0.0424863544947469,63278.3394105221,63278.3394105221,63278.3394105221,0.0038,0.0038,0.0038,2.07828450581088,2.07828450581088,2.07828450581088,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"20","MNI Fishery","Montserrat","MNI","Aluterus scriptus","Aluterus scriptus",50,1,0.188,0.188,0.188,0.0384450709997669,0.0384450709997669,0.0384450709997669,5077.87874992997,5077.87874992997,5077.87874992997,0.56124819687936,0.56124819687936,0.56124819687936,4.10709322858063,4.10709322858063,4.10709322858063,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"21","MNI Fishery","Montserrat","MNI","Anisotremus surinamensis","Anisotremus surinamensis",50,1,0.188,0.188,0.188,0.0194362824447357,0.0194362824447357,0.0194362824447357,2557.74745809038,2557.74745809038,2557.74745809038,0.42051451086242,0.42051451086242,0.42051451086242,6.93611287785556,6.93611287785556,6.93611287785556,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"22","MNI Fishery","Montserrat","MNI","Archosargus rhomboidalis","Archosargus rhomboidalis",50,1,0.188,0.188,0.188,0.10941506887231,0.10941506887231,0.10941506887231,3508.16656594171,3508.16656594171,3508.16656594171,0.49924416019688,0.49924416019688,0.49924416019688,1.03061572156023,1.03061572156023,1.03061572156023,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
"23","MNI Fishery","Montserrat","MNI","Balistes vetula","Balistes vetula",50,1,0.188,0.188,0.188,0.0523271666648442,0.0523271666648442,0.0523271666648442,89160.5337834616,89160.5337834616,89160.5337834616,0.045,0.045,0.045,1.50248532309239,1.50248532309239,1.50248532309239,1,1,1,1,0,0,0,22,22,22,22,22,22,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0.03,1
