,common_name,id10,scientific_name,new_id
186,french grunt,HEAMFL,Haemulon flavolineatum,HAEMFL
187,caesar grunt,HEMCA,Haemulon carbonarium,HAEMCA
188,balao,HEMIBA,Hemiramphus balao,HEMIBA
189,ballyhoo,HEMIBR,Hemiramphus brasiliensis,HEMIBR
191,squirrelfishes,HOLO,Holocentridae,HOLO
195,squirrelfish,HOLOAD,Holocentrus adscensionis,HOLOAD
196,"soldierfish,blackbar",HOLOJA,Myripristis jacobus,HOLOJA
197,"squirrelfish,longspine",HOLORU,Holocentrus rufus,HOLORU
198,marlins,ISTI,Istiophoridae,ISTI
199,white marlin,ISTIAB,Tetrapturus albidus,ISTIAB
200,blue marlin,ISTINI,Makaira nigricans,ISTINI
202,sailfish,ISTIPL,Istiophorus platypterus,ISTIPL
203,bermuda chub,KYPHSE,Kyphosus sectatrix,KYPHSE
206,spanish hogfish,LABBRU,Bodianus rufus,LABBRU
207,wrasses,LABR,Labridae,LABR
208,spanish hogfish,LABRAU,Bodianus rufus,LABBRU
209,spanish hogfish,LABRIU,Bodianus rufus,LABBRU
210,spanish hogfish,LABRIU,Bodianus rufus,LABBRU
211,hogfish,LABRMX,Lachnolaimus maximus,LABRMX
212,creole wrasse,LABRPA,LABRPA,LABRPA
216,spotfin hogfish,LABRPU,Bodianus pulchellus,LABRPU
217,puddingwife,LABRRA,Halichoeres radiatus,LABRRA
219,"hogfish,spanish",LABRRU,Bodianus rufus,LABBRU
222,squid,LOLI,Loliginidae,LOLI
223,snapper,LUTJ,Lutjanidae,LUTJ
225,vermillion snapper,LUTJAM,Rhomboplites aurorubens,LUTJAU
226,mahogany snapper,LUTJAMA,Lutjanus mahogoni,LUTJMA
227,mutton snapper,LUTJAN,Lutjanus analis,LUTJAN
231, schoolmaster snapper,LUTJAP,Lutjanus apodus,LUTJAP
232,wenchman,LUTJAQ,Pristipomoides aquilonar,LUTJAQ
234,vermilion snapper,LUTJAU,Rhomboplites aurorubens,LUTJAU
237,blackfin snapper,LUTJBU,Lutjanus buccanella,LUTJBU
240,red snapper,LUTJCA,Lutjanus campechanus,LUTJCA
243,yellowtail snapper,LUTJCH,Ocyurus chrysurus,LUTJCH
245,cubera snapper,LUTJCY,Lutjanus cyanopterus,LUTJCY
246,black snapper,LUTJDE,Apsilus dentatus,LUTJDE
248,gray snapper,LUTJGR,Lutjanus griseus,LUTJGR
253,dog snapper,LUTJJO,Lutjanus jocu,LUTJJO
254,snapper,LUTJL,Lutjanidae,LUTJ
255,mahogany snapper,LUTJMA,Lutjanus mahogoni,LUTJMA
261,queen snapper,LUTJOC,Etelis oculatus,LUTJOC
262,southern red snapper,LUTJPU,Lutjanus purpureus,LUTJPU
263,yellowtail snapper,LUTJSCH,Ocyurus chrysurus,LUTJCH
267,lane snapper,LUTJSY,Lutjanus synagris,LUTJSY
269,silk snapper,LUTJVI,Lutjanus vivanus,LUTJVI
271,gray snapper or uku,LUTJVS,Aprion viscerens,LUTJVS
272,lane snapper,LUTJVSY,Lutjanus synagris,LUTJSY
273,dog snapper,LUTTJO,Lutjanus jocu,LUTJJO
274,silk snapper,LUTVI,Lutjanus vivanus,LUTJVI
275,sand tilefish,MALAPL,Malacanthus plumieri,MALAPL
276,white spotted tilefish,MANAMA,Cantherhines macrocerus,MONAMA
277,indian crown conch,MELOME,Melongena melongena,MELOME
278,white spotted tilefish,MONAMA,Cantherhines macrocerus,MONAMA
280,orangespot filefish,MONAPU,Cantherhines pullus,MONAPU
281,orange filefish,MONASC,Aluterus schoepfi,MONASC
282,scrawled filefish,MONASR,Aluterus scriptus,MONASR
286,scrawled filefish,MONESR,Aluterus scriptus,MONASR
287,scrawled filefish,MONOSR,Aluterus scriptus,MONASR
288,mullets,MUGI,Mugilidae,MUGI
289,"mullet,white",MUGICU,Mugil curema,MUGICU
291,goatfish,MULL,Mullidae,MULL
293,spotted goatfish,MULLMC,Pseudupeneus maculatus,MULLMC
294,yellow goatfish,MULLMA,Mulloidichthys martinicu,MULLMA
296,dwarf goatfish,MULLPA,Upeneus parvus,MULLPA
297,morays,MURA,Muraenidae,MURA
298,green moray,MURAFU,Gymnothorax funebris,MURAFU
300,spotted moray,MURAMO,Gymnothorax moringa,MURAMO
302,staut moray,MURARO,Muraena robusta,MURARO
303,purplemouth moray,MURAVI,Gymnothorax vicinus,MURAVI
304,NA,NA,NA,NA
307,NA,NO CATCH,NA,NO CATCH
308,dolphinfish,NO DATA,NA,NO DATA
309,no data collected,NO DATA COLLECTED,NA,NO DATA
310,no fish caught,NOFISH,NA,NO CATCH
311,carib reef octopus,OCTOBR,Octopus briareus,OCTOBR
312,octopus,OCTOO,Octopus spp,OCTOO
313,common octopus,OCTOVU,Octopus vulgaris,OCTOVU
314,batfishes,OGCO,Ogcocephalidae,OGCO
315,nurse shark,ORECCI,Ginglymostoma cirratum,ORECCI
317,spotted trunkfish,OSTRBI,Lactophrys bicaudalis,OSTRBI
318,honeycomb cowfish,OSTRPO,Lactophrys poligonius,OSTRPO
321,trunkfish,OSTRPR,Lactophrys trigonus,OSTRTR
322,scrawled cowfish,OSTRQU,Lactophrys quadricornis,OSTRQU
323,smooth trunkfish,OSTRTI,Lactophrys triqueter,OSTRTI
324,trunkfish,OSTRTR,Lactophrys trigonus,OSTRTR
325,honeycomb cowfish,OSTRYO,Lactophrys poligonius,OSTRPO
326,honeycomb cowfish,OTSRPO,Lactophrys poligonius,OSTRPO
327,rock beauty,PACANTR,,
328,spiny lobster,PALI,Palinuridae,PALI
330,caribbean spiny lobster,PALIAR,Panulirus argus,PALIAR
331,spiny lobster,PALICAN,Palinuridae,PALI
332,spotted spiny lobster,PALIGU,Panulirus guttatus,PALIGU
333,angelfishes,PCAN,Pomachanthidae,PCAN
334,gray angelfish,PCANAR,Pomacanthus arcuatus,PCANAR
337,blue angelfish,PCANBE,Holacanthus bermudensis,PCANBE
338,queen angelfish,PCANCI,Holacanthus ciliaris,PCANCI
341,gray angelfish,PCANCR,Pomacanthus arcuatus,PCANAR
342,french angelfish,PCANPA,Pomacanthus paru,PCANPA
347,rock beauty,PCANTR,Holacanthus tricolor,PCANTR
351,butterfishes,PEPR,Stromateidae,PEPR
352,butterfish,PEPRTR,Peprilus triacanthus,PEPRTR
353,caribbean spiny lobster,PLAIAR,Panulirus argus,PALIAR
354,damselfishes,POMC,Pomacentridae,POMC
355,yellowtail damselfish,POMCCH,Microspathodon chrysurus,POMCCH
356,sergeant major,POMCSA,Abudefduf saxatilis,POMCSA
357,"sergeant,night",POMCTA,Abudefduf taurus,POMCTA
358,"crab,speckled swimmin",PORTCR,Arenaeus cribrarius,PORTCR
359,bungi (atlantic bigeye),PRIA,Priacanthus arenatus,PRIAAR
360,bungi (atlantic bigeye),PRIAAR,Priacanthus arenatus,PRIAAR
369,glasseye snapper,PRIACR,Priacanthus cruentatus,PRIACR
370,glasseye snapper,PRIAR,Priacanthus cruentatus,PRIACR
371,queen angelfish,PSCANCI,Holacanthus ciliaris,PCANCI
372,lionfish,PTERVO,,
374,parrotfishes,SCAR,Scaridae,SCAR
376,redband parrotfish,SCARAU,Sparisoma aurofrenatum,SCARAU
378,blue parrotfish,SCARCCO,Scarus coeruleus,SCARCO
379,midnight parrotfish,SCARCE,Scarus coelestinus,SCARCE
380,redtail parrotfish,SCARCH,Sparisoma chrysopterum,SCARCH
384,blue parrotfish,SCARCO,Scarus coeruleus,SCARCO
385,striped parrotfish,SCARCR,Scarus croicensis,SCARCR
386,rainbow parrotfish,SCARGU,Scarus guacamaia,SCARGU
387,blue parrotfish,SCARRO,Scarus coeruleus,SCARCO
